GP1	GP2	GP3	GP4
ITGAE	TOX	PLCB1	IFNG-AS1
GNLY	ZEB2	IL7R	GZMK
SRGAP3	LYST	TC2N	AGAP1
RBPJ	TTN	NR3C2	RIPOR2
ATP8B4	CBLB	ANK3	ST8SIA1
SNX9	PDE3B	UST	DTHD1
FUT8	PAM	PLCL1	RBM20
MYO1E	NEAT1	INTS6	PHACTR2
SAMSN1	DLEU2	TGFB1	SAMD3
NELL2	NAMPT	RASGRF2	PPP2R2B
CLNK	CYTOR	P2RY8	KLRG1
MAST4	PAG1	PELI2	LGR6
ENTPD1	ITGB1	IGF1R	PZP
RGS1	TNIP3	PCAT1	ATXN7L1
MYO7A	ZSWIM6	AKT3	NEK7
AKAP13	NR3C1	FMN1	AGTPBP1
ANKRD28	JARID2	TAFA1	CD28
CTLA4	AHR	SLCO3A1	MCUB
TIAM1	TANK	EPHA4	MSC-AS1
RIN3	RAB27A	CATSPERB	PCED1B
ZC3H12C	HIVEP1	PATJ	PLCL2
PTPN22	TBL1XR1	LEF1	PTPRM
UBASH3B	SGMS1	TANC2	CDHR3
DUSP4	OSBPL8	CASK	JAKMIP2
CSGALNACT1	CCDC141	CAMK1D	SLC9A9
RUNX2	FOXO1	RERE	MAML2
DAPK2	MAN1A1	MYBL1	HIVEP2
DGKH	NFAT5	ANTXR2	FRMD4A
KLRC1	FAM107B	MAGI3	SESN3
SPRY1	TSPAN5	ST6GAL1	MLLT3
ITGA2	ZEB1	CD55	BAZ2B
KLRC2	CPD	ASTL	E2F3
LDLRAD4	HIF1A	ADAMTSL4-AS1	GPHN
PRKCA	CDYL2	TLE4	SNTB1
NEBL	PVT1	ZBTB10	CMC1
INPP5F	SUPT3H	SBF2	SMYD3
PELI1	GTDC1	FAAH2	NSUN6
SHC4	PHTF2	DSCAML1	FBXL17
MYO18B	RAPGEF6	MPP7	PLEKHG1
MTSS1	PICALM	CCR7	ADD3
AFAP1L2	R3HDM1	PRKN	MAN2A1
DOCK5	ADCY3	SNTG2	RFX3
NHS	EXT1	TPRG1	ZCCHC7
CDK6	ADK	IMMP2L	C12orf42
GALNT2	UBE2H	FER	FCHSD2
DUSP16	BMERB1	POLG2	SLC14A1
DPF3	IL21R	PTGDR	C22orf34
PDE4D	FAM102B	SPON1	MAP4K4
PLPP1	OSBPL3	CCDC97	TENM1
ITGA9	TET2	RAPGEF2	WWOX
HIPK2	XXYLT1	SEMA4A	TPK1
AHI1	RFX7	SLC16A10	CPNE8
ADAMTS6	LUZP1	CD83	DIAPH2
TNS3	SLC7A1	PCSK5	STAU2
XYLT1	BACH1	JAM3	PLEKHA5
TNFRSF18	MKLN1	PRKY	WDR63
ADAM19	TBL1X	GNAO1	CLYBL
ICOS	IRF4	TSC22D2	ZNF718
HAVCR2	FAM126A	EDA	RFX3-AS1
IRS2	SFMBT1	MYO1D	RAD51B
NAB1	BCAT1	RNF144A	IPCEF1
RGS13	ACSL4	SAMD12	NLGN4Y
PIP5K1B	ATP11A	EPHA1-AS1	MBOAT1
SIPA1L1	NECTIN3	TCF7L2	HELB
PDE7B	KIF21A	EXOC6B	RILPL2
CERS6	BATF	ZSWIM5	DIPK1A
CD109	PHTF1	SATB1-AS1	NT5DC1
RAB11FIP1	SREBF2	PRKCE	TMTC2
WHRN	BMP2K	ATP2B1	ACYP2
GZMB	GK	RASSF3	CAMKMT
LAG3	BZW2	BBS9	MAGED1
TOX2	HIF1A-AS3	LRRC23	CARMIL1
MAP4K3	PXK	BTBD9	GCNT2
CXCL13	GBE1	SLC39A10	BCAS3
RALA	SERTAD2	NFIA	BAZ1A
IL2RA	ZNF438	SLC2A3	ALG13
CD226	MAP4K3-DT	TRIM69	UMAD1
ENTPD1-AS1	FGGY	FOXO3	MAP2K6
CSF1	RANBP9	PACSIN1	FBXL4
TNFRSF9	SLC2A13	USP53	COLGALT2
NFIL3	SDK1	NFATC1	COMMD10
GOLIM4	RIC1	PPP1R13B	MTAP
SYNJ2	FOCAD	CPQ	CARS2
VDR	C16orf87	YBX3	SGK3
GNG4	BMPR2	ERCC5	PHF21A
GMDS	DTNB	PDE4C	GMDS-DT
MBNL2	OLA1	FAM169A	XKR6
ATP10A	PSD3	NEO1	ULK4
GRAMD1B	DAAM1	ZNF532	CRADD
TIAM2	KLHL5	SMAD3	ZNF33B
PRDM1	PAQR3	MCC	FRMPD3
STAM	HS2ST1	ANKDD1A	SCFD2
ABCB1	YPEL2	GCH1	TTC9
DRAXIN	SCLY	FLNB	TPD52
PHEX	WRN	PLEKHG2	SLC16A1-AS1
RYR2	B3GALNT2	ARHGAP5	PRH1
TP73	LYRM4	PDE8A	AKAP7
CHN1	ABI2	HHAT	CDRT4
AGFG1		TRIM72	ANKH
ADAMTS3		AATK	MBNL3
GEM		FNIP2	TBC1D19
MEF2A		DIRC3	TMCC1
KIF5C		SLC10A1	TMLHE
KCNK5		NAV2	SHLD1
LRIG1		AGBL4	RSU1
ETV1		CACNA2D2	DDX58
EPAS1		NOP2	SUMF1
PARD6G		FBXO32	SEC22A
LRRN3		ACVR2A	SERGEF
FAM3C		ME1	KANSL1L
ABTB2		KCNQ1OT1	LDAH
EIF2AK3		NUP210L	L3MBTL3
ARHGEF12		ZFYVE9	DTNBP1
CLIC5		PIAS2	TMEM135
LRRC28		TRPC1	ACBD6
MAGI1		SLC12A2	TMEM161B-AS1
RGS16		NBEA	DCP1B
TMEM178B		ERO1B	MRTFB
TBC1D4		PPM1N	METTL15
PRKD3		KCNQ1	TRMT11
LHFPL6		BRMS1L	ERVMER61-1
GPD2		EMC1-AS1	CWC27
PITPNM2		SPDYA	EHBP1
LAYN		CMTM8	AMN1
ZNRF1		TAF4B	SRBD1
ZDHHC14		EVA1C	SNX30
EDARADD		FGF18	BCKDHB
SLAMF1		B4GALNT3	ICE2
IL18RAP		DOCK3	ZC4H2
MICAL2		SYNM	ELP4
MTHFD1L		SLC16A1	TSTD3
