Gene	Meta program	Annotation
FBLN1	1	Fibroblast
MATN2	1	Fibroblast
CLMP	1	Fibroblast
PDGFRA	1	Fibroblast
CELF2	1	Fibroblast
LUM	1	Fibroblast
MMP2	1	Fibroblast
TSHZ2	1	Fibroblast
FENDRR	1	Fibroblast
BNC2	1	Fibroblast
A2M	1	Fibroblast
KAZN	1	Fibroblast
SPON1	1	Fibroblast
SNED1	1	Fibroblast
C1S	1	Fibroblast
PDE7B	1	Fibroblast
SOX6	1	Fibroblast
CXCL14	1	Fibroblast
C1R	1	Fibroblast
BICC1	1	Fibroblast
ABCC4	1	Fibroblast
NAALADL2	1	Fibroblast
GPRC5A	1	Fibroblast
TGFBR3	1	Fibroblast
MFAP4	1	Fibroblast
TRPA1	1	Fibroblast
PLEKHA5	1	Fibroblast
THSD4	1	Fibroblast
LSAMP	1	Fibroblast
PLXDC2	1	Fibroblast
HSD17B2	1	Fibroblast
BMP5	1	Fibroblast
MCTP2	1	Fibroblast
FMNL2	1	Fibroblast
PRICKLE1	1	Fibroblast
LTBP4	1	Fibroblast
LDLRAD4	1	Fibroblast
PID1	1	Fibroblast
NLGN1	1	Fibroblast
FGF7	1	Fibroblast
PDE10A	1	Fibroblast
ITGA11	1	Fibroblast
TMEM176B	1	Fibroblast
ZNF536	1	Fibroblast
GPC6	1	Fibroblast
SORCS1	1	Fibroblast
PDPN	1	Fibroblast
SLC14A1	1	Fibroblast
RARRES2	1	Fibroblast
SOD2	1	Fibroblast
LRRC3B	1	Fibroblast
PTPRE	1	Fibroblast
COL8A1	1	Fibroblast
TRHDE	1	Fibroblast
PDE4D	1	Fibroblast
TGM2	1	Fibroblast
TRABD2B	1	Fibroblast
NAMPT	1	Fibroblast
AFF3	1	Fibroblast
ARHGAP28	1	Fibroblast
PCDH7	1	Fibroblast
PDGFD	1	Fibroblast
HHIP	1	Fibroblast
ROR2	1	Fibroblast
PALLD	1	Fibroblast
COL16A1	1	Fibroblast
ITIH5	1	Fibroblast
WNT5B	1	Fibroblast
POU6F2	1	Fibroblast
COL27A1	1	Fibroblast
SLIT2	1	Fibroblast
PREX2	1	Fibroblast
NOVA1	1	Fibroblast
RUNX1	1	Fibroblast
SGCZ	1	Fibroblast
ABCA8	1	Fibroblast
PITX1	1	Fibroblast
F3	1	Fibroblast
ITGA8	1	Fibroblast
GAS7	1	Fibroblast
TENM2	1	Fibroblast
PTPRM	1	Fibroblast
FGFR1	1	Fibroblast
SQSTM1	1	Fibroblast
SLC23A2	1	Fibroblast
C1QTNF7	1	Fibroblast
