Gene	Meta program	Annotation
XIST	1	Luminal
FXYD5	1	Luminal
TSIX	1	Luminal
KRT13	1	Luminal
DHRS2	1	Luminal
FRMD6	1	Luminal
S100A2	1	Luminal
AC133530.1	1	Luminal
IVL	1	Luminal
CTSE	1	Luminal
SLIT3	1	Luminal
INPP4B	1	Luminal
KRT7	1	Luminal
IGFBP5	1	Luminal
ABCA6	1	Luminal
RAB11FIP1	1	Luminal
CD96	1	Luminal
SLC24A3	1	Luminal
S100A4	1	Luminal
RHOBTB3	1	Luminal
GABRE	1	Luminal
ALDH1A2	1	Luminal
HS3ST5	1	Luminal
LY6D	1	Luminal
CEP44	1	Luminal
CTSD	1	Luminal
COBLL1	1	Luminal
CSTB	1	Luminal
REN	1	Luminal
PLCE1	1	Luminal
HMOX1	1	Luminal
CYP3A5	1	Luminal
HPGD	1	Luminal
STK24	1	Luminal
GAREM1	1	Luminal
ABCA9	1	Luminal
S100A14	1	Luminal
KCTD16	1	Luminal
ACER2	1	Luminal
LIPH	1	Luminal
MYO3B	1	Luminal
S100A9	1	Luminal
GPR39	1	Luminal
FAM107B	1	Luminal
ANXA10	1	Luminal
IL1RAPL2	1	Luminal
PTGS2	1	Luminal
SEMA3C	1	Luminal
UPK1B	1	Luminal
EDARADD	1	Luminal
GPCPD1	1	Luminal
SYTL2	1	Luminal
KCND2	1	Luminal
FRMD3	1	Luminal
IGFBP3	1	Luminal
ATP10B	1	Luminal
MARK1	1	Luminal
RHPN2	1	Luminal
SGPP2	1	Luminal
PPARG	1	Luminal
GJB2	1	Luminal
DACH2	1	Luminal
S100A8	1	Luminal
HSD17B2	1	Luminal
STK32A	1	Luminal
DAPP1	1	Luminal
TIAM1	1	Luminal
FAM13A	1	Luminal
IGF2	1	Luminal
UGT1A8	1	Luminal
LYPD3	1	Luminal
KIF26B	1	Luminal
PTPRE	1	Luminal
GJB6	1	Luminal
TRABD2B	1	Luminal
KRT23	1	Luminal
ADGRL2	1	Luminal
CERS3	1	Luminal
MALL	1	Luminal
CDK6	1	Luminal
GRAMD2B	1	Luminal
MACC1	1	Luminal
MID1	1	Luminal
LMTK2	1	Luminal
GRHL3	1	Luminal
TRHDE	1	Luminal
SLC15A1	1	Luminal
C10orf99	1	Luminal
B4GALT4	1	Luminal
FLNB	1	Luminal
VGLL3	1	Luminal
LRATD1	1	Luminal
GRHL1	1	Luminal
ATP2C2	1	Luminal
CAB39	1	Luminal
ABLIM3	1	Luminal
CLCA2	1	Luminal
FSTL4	1	Luminal
CATSPERB	1	Luminal
CAB39L	1	Luminal
TMPRSS2	1	Luminal
UPK3B	1	Luminal
NCKAP5	1	Luminal
CD24	1	Luminal
ANXA1	1	Luminal
HDAC2-AS2	1	Luminal
DUSP16	1	Luminal
YOD1	1	Luminal
SNTG1	1	Luminal
ZNF217	1	Luminal
FIGN	1	Luminal
ELF5	1	Luminal
UPK3A	1	Luminal
PKIA-AS1	1	Luminal
HNMT	1	Luminal
RGS17	1	Luminal
SMAD6	1	Luminal
CST1	1	Luminal
CA9	1	Luminal
ACSL1	1	Luminal
RAB8B	1	Luminal
UPK2	1	Luminal
CDKL5	1	Luminal
KCND3	1	Luminal
PAG1	1	Luminal
MPP7	1	Luminal
GAN	1	Luminal
PLAUR	1	Luminal
CST4	1	Luminal
CHST15	1	Luminal
MEIS1	1	Luminal
SLC8A1-AS1	1	Luminal
RAB27B	1	Luminal
NIBAN1	1	Luminal
PLD1	1	Luminal
BMP2	1	Luminal
CXCL8	1	Luminal
MTCP1	1	Luminal
SCNN1B	1	Luminal
GK	1	Luminal
SPTLC3	1	Luminal
TBC1D30	1	Luminal
ENC1	1	Luminal
PLS3	1	Luminal
PHGR1	1	Luminal
REG4	1	Luminal
FER1L6	1	Luminal
TMEM40	1	Luminal
CYP7B1	1	Luminal
UFL1-AS1	1	Luminal
DIRC3	1	Luminal
CALML3	1	Luminal
COLEC10	1	Luminal
SLC12A6	1	Luminal
GNAI1	1	Luminal
TRHDE-AS1	1	Luminal
UPK1A	1	Luminal
IL20RA	1	Luminal
CXCL2	1	Luminal
OPN3	1	Luminal
FBXO8	1	Luminal
DHRS9	1	Luminal
C5orf66	1	Luminal
CCDC181	1	Luminal
ACVR2A	1	Luminal
THBD	1	Luminal
CSTA	1	Luminal
HOPX	1	Luminal
CDRT1	1	Luminal
MUC2	1	Luminal
RAB38	1	Luminal
JPH2	1	Luminal
NYAP2	1	Luminal
LIF	1	Luminal
ADGRE2	1	Luminal
RHCG	1	Luminal
YPEL2	1	Luminal
MORC4	1	Luminal
MAGEA10	1	Luminal
FER1L6-AS1	1	Luminal
ATG4A	1	Luminal
COL24A1	1	Luminal
WNT5A	2	Neural-like progenitor
ROBO1	2	Neural-like progenitor
CPA6	2	Neural-like progenitor
CAMK1D	2	Neural-like progenitor
NBEA	2	Neural-like progenitor
LRP1B	2	Neural-like progenitor
ARHGAP6	2	Neural-like progenitor
ADGRB3	2	Neural-like progenitor
RBMS3	2	Neural-like progenitor
AGR3	2	Neural-like progenitor
TRPS1	2	Neural-like progenitor
KYNU	2	Neural-like progenitor
BRINP3	2	Neural-like progenitor
SIPA1L2	2	Neural-like progenitor
UBE2E2	2	Neural-like progenitor
NR2F1-AS1	2	Neural-like progenitor
CPED1	2	Neural-like progenitor
CHST9	2	Neural-like progenitor
SCN2A	2	Neural-like progenitor
PPM1L	2	Neural-like progenitor
ERVMER61-1	2	Neural-like progenitor
BCL2	2	Neural-like progenitor
LUZP2	2	Neural-like progenitor
FOXP2	2	Neural-like progenitor
PDGFC	2	Neural-like progenitor
CSMD3	2	Neural-like progenitor
PALMD	2	Neural-like progenitor
PDE8B	2	Neural-like progenitor
ANGPT1	2	Neural-like progenitor
WNT5B	2	Neural-like progenitor
C22orf34	2	Neural-like progenitor
SV2C	2	Neural-like progenitor
GRM3	2	Neural-like progenitor
WNK2	2	Neural-like progenitor
ZNF365	2	Neural-like progenitor
CHL1	2	Neural-like progenitor
PRSS23	2	Neural-like progenitor
GUCY1A2	2	Neural-like progenitor
MAPRE2	2	Neural-like progenitor
MEF2C	2	Neural-like progenitor
CSPG4	2	Neural-like progenitor
EPHA7	2	Neural-like progenitor
GULP1	2	Neural-like progenitor
ADAMTS20	2	Neural-like progenitor
SGCZ	2	Neural-like progenitor
APCDD1	2	Neural-like progenitor
BMPR1B	2	Neural-like progenitor
MCTP1	2	Neural-like progenitor
