Naive	Cytotoxicity	Treg	Exhaustion	IFN_signaling	Cytokine	Chemokine	Costimulatory_molecules	Oxidative_phosphorylation	Glycolysis	Lipid_metabolism	TCR_signaling	JAK-STAT_signaling	MAPK_signaling	NFKB_signaling	Neoantigen-reactive
IL7R	GZMA	FOXP3	PDCD1	STAT1	CSF1	CCR4	TNFRSF25	ATP1B1	SLC2A3	ABHD3	CALM1	AKT3	AKT1	CHUK	CXCL13
CCR7	GZMB	IKZF2	LAYN	STAT3	CSF2	CCR5	TNFRSF1B	ATP1B3	SLC16A1	ACADVL	CALM2	SPRY3	AKT2	FADD	HMOX1
SELL	GZMH	IKZF4	HAVCR2	MX1	ADAM19	CCR6	TNFRSF4	ATP2B1	PFKFB3	ACOT9	CALM3	SPRY1	AKT3	IKBKB	ETV7
FOXP1	GZMK	IL2RA	LAG3	IRF1	ADAM8	CCR7	TNFRSF9	ATP2B4	ALDOA	AHR	CD4	SPRY2	ARRB1	IKBKG	ADGRG1
KLF2	GZMM	ENTPD1	CTLA4	ISG15	ADAM12	CCR8	TNFRSF18	ATP5A1	TPI1	ALOX5AP	CAST	STAM2	ARRB2	IL1A	PDCD1
KLF3	GNLY	CCR4	TIGIT	ISG20	CD70	CXCR3	CD27	ATP5B	GAPDH	AP2M1	CD247	IRF9	ATF2	IL1R1	ENTPD1
LEF1	PRF1	ICOS	TOX	IFITM1	IL12RB2	CXCR4	CD28	ATP5C1	PGK1	AP2S1	CD3D	PIAS3	ATF4	MAP3K1	CCDC50
TCF7	IFNG	IL10RA	VSIR	IFITM2	IL17A	CXCR5	CD44	ATP5D	PGAM1	APOBEC3C	CD3E	IL24	BDNF	MAP3K14	TOX
ACTN1	TNF	TGFB1	BTLA	IFITM3	IL17F	CXCR6	CD48	ATP5E	ENO1	APOBEC3G	CD3G	CISH	BRAF	MAP3K7	CD4
BTG1	SERPINB9	TIGIT	ENTPD1	OAS1	IL10RA	CCL3	ICOS	ATP5F1	PKM	APOBEC3H	CSK	IL22RA2	CACNA1A	MYD88	TIGIT
BTG2	CTSA	CTLA4		OAS2	IL1R1	CCL4	CD2	ATP5F1A	LDHA	APOL6	DOK2	SOCS4	CACNA1B	NFKB1	TNFRSF18
TOB1	CTSB	LAG3		OASL	IL1R2	CCL5	SLAMF1	ATP5F1B	LDHB	ARF1	FYN	CNTF	CACNA1C	NFKBIA	NMB
	CTSC	HAVCR2		SOCS1	IL21R	CCL20	CD40LG	ATP5F1C	GYG1	ARF5	LCK	CNTFR	CACNA1D	RELA	MYL6B
	CTSD	PDCD1		SOCS3	IL21	CXCL13	CD84	ATP5F1D	GPI	ARNTL	NFATC1	CREBBP	CACNA1E	RIPK1	AHI1
	CTSH			TRIM22	IL26	CXCL8		ATP5F1E	UGP2	B3GALT2	NFATC2	CSF2	CACNA1F	TAB1	MAF
	CTSW			APOL6	IL2RA	XCL1		ATP5G1	UBB	B4GALT1	PLEK	CSF2RA	CACNA1G	TNF	IFNG
	CST7			IFNAR2	IL2RB			ATP5G2	UBC	CAV1	PTPN11	CSF2RB	CACNA1H	TNFAIP3	LAG3
	CAPN2			IFNGR1	IL2RG			ATP5G3		CDIPT	PTPN13	CSF3	CACNA1I	TNFRSF1A	CXCR6
	PLEK			GBP1	IL32			ATP5H		CERK	PTPN2	CSF3R	CACNA1S	TNFRSF1B	IGFLR1
				GBP2	IL6R			ATP5I		CLTA	PTPN22	CSH1	CACNA2D1	TRADD	DUSP4
				GBP4	TGFB1			ATP5IF1		CPNE7	PTPN4	CTF1	CACNA2D2	TRAF6	ACP5
				GBP5	TGFBR2			ATP5J		ELOVL1	PTPN6	IL23R	CACNA2D3		LINC01943
				BST2	TGFBR3			ATP5J2		ELOVL5	PTPN7	SPRED1	CACNA2D4		LIMS1
				IFI16				ATP5MG		DBI	PTPRC	IFNLR1	CACNB1		BATF
				IFI35				ATP5MC2		EPHX2	PTPRCAP	SPRED2	CACNB2		PCED1B
				IFI44L				ATP5MC3		FABP5	S100A10	EP300	CACNB3		ITGAL
				IFI6				ATP5MD		FURIN	S100A11	EPO	CACNB4		YPEL2
				PARP8				ATP5MF		GDE1	S100A4	EPOR	CACNG1		MAL
				PARP9				ATP5MG		GK	S100A6	AKT1	CACNG2		PPT1
								ATP5MPL		GPX1	ZAP70	AKT2	CACNG3		ELMO1
								ATP5O		GPX4	DUSP1	CLCF1	CACNG4		MIS18BP1
								ATP5PB		HDLBP	DUSP2	PIK3R5	CACNG5		TMEM173
								ATP5PD		IDH2	DUSP4	CBLC	CACNG6		ADI1
								ATP5PF		IDI1	DUSP16	GH1	CACNG7		SLA
								ATP6V0B		HPGD	LAT	GH2	CACNG8		GALM
								ATP6V0C		INPP4B	FOS	GHR	CASP3		LBH
								ATPIF1		INPP5D	FOSB	IFNL2	CD14		SECISBP2L
