LUM	SQM	BSL	NEC	MES	NRP 	CYG	Mesenchymal	Cycle	Interferon	Stress_Barkley	Hypoxia	Interferon_MHC-II-I	Stress_Gavish	EMT-I	MP7	Subtype-N	Subtype-P	Oxidative_phosphorylation 	Cytokines_and_inflammatory_response	Interferon_gamma_response	Regulation_of_autophagy
CYP2J2	DSC1	CD44	CHGA	COL1A2	KCNJ16	ASPM	AQP1	ACYP1	ACTN1	ABHD3	ADM	ISG15	ATF3	COL1A2	LCN2	ABCG4	AASS	ATP6AP2	CSF1	ADAR	ATG7
ERBB2	DSC2	CDH3	CHGB	SPARC	ZBTB16	CENPE	BGN	ANLN	APOL1	AC016629.8	AHNAK	CD74	EGR1	SPARC	MUC20	ACSL6	ABCB9	ATP5PD	CSF2	APOL6	GABARAP
ERBB3	DSC3	KRT1	SCG2	COL3A1	CTNND2	TOP2A	CALD1	ANP32B	APOL2	ADAMTS1	ALDOA	IFI6	FOS	COL1A1	C15orf48	ACTL6B	ACADSB	ATP5MG	CSF3	ARID5B	GABARAPL2
FGFR3	DSG1	KRT14	ENO2	LUM	PDE3A	KIF14	CCDC80	ANP32E	APOL3	ANKRD28	ANGPTL4	HLA-DRA	PPP1R15A	COL3A1	MUC1	ADAM11	ACTA2	NDUFA11	CXCL1	ARL4A	ATG4A
FOXA1	DSG2	KRT16	SYP	AEBP1	PDGFD	PIF1	COL1A1	APITD1	APOL6	ANKRD37	BLNK	HLA-DRB1	JUN	IGFBP7	MUC4	ADCYAP1R1	ADAMTS1	DMAC2L	CXCL2	AUTS2	ATG4B
GATA3	DSG3	KRT5	NCAM1	COL6A3	CNTN4	BUB1	COL1A2	APOBEC3B	B2M	ARC	BNIP3	IFIT3	DUSP1	TAGLN	CEACAM6	AGPAT4	ADAMTS3	GZMB	HLA-DRA	B2M	GABARAPL1
GPX2	S100A7	KRT6A		COL1A1	CFTR	GTSE1	COL3A1	ARHGAP11A	BST2	AREG	BNIP3L	PSMB9	JUNB	C1S	PRSS22	AKT3	ADAMTSL3	NDUFS7	HLA-DRB1	BANK1	ULK3
KRT18	S100A8	KRT6B		BGN	FLRT2	TPX2	COL5A2	ARHGAP11B	C19orf66	ARID5B	C4orf3	IFI44L	FOSB	FN1	PSCA	ALPL	ADORA1	MT-ATP6	IFNB1	BATF2	PIK3R4
KRT19		KRT6C		SFRP2	ADCY5	KIF18B	COL6A1	ARL6IP1	C1R	ARL5B	CA9	RARRES3	IER2	MGP	CTSS	ANXA6	AEBP1	MT-ND1	IFNG	BPGM	IFNA1
KRT20				MMP11	C6	ANLN	COL6A3	ARL6IP6	C1S	ATF3	CASP14	STAT1	GADD45B	TIMP1	CEACAM5	APC2	AGRN	MT-ND2	IL1A	BST2	IFNA2
KRT7				ACTA2	CRISP3	CENPF	CPE	ASF1B	C3	B3GNT5	DDIT4	HLA-DPA1	BTG2	TIMP3	DUOX2	ARHGAP36	AHNAK	MT-ND3	IL1B	BTG1	IFNA4
KRT8				FN1	RALYL	DLGAP5	FN1	ASPM	C5orf56	BAG3	DHRS3	MX1	ZFP36	BGN	DUOXA2	ARL10	ALOX5	MT-ND4	IL2	C1R	IFNA5
PPARG				THBS2	NR1H4	CIT	GJA1	ATAD2	CCL2	BAMBI	EGLN3	UBE2L6	DNAJB1	C1R	IDO1	ARL4D	AMY2A	MT-ND4L	IL3	C1S	IFNA6
XBP1				VIM	BCL2	KIF4A	GNG11	ATAD5	CCL27	BBC3	ENO2	IFITM3	NR4A1	VIM	PDZK1IP1	ASPDH	ANO7	MT-ND5	IL4	CASP1	IFNA7
UPK1A				POSTN	ESRRG	KIF23	NPC2	AURKA	CCL5	BHLHE40	EPAS1	BST2	SERTAD1	COL6A2	SECTM1	ATF5	ANXA1	MT-ND6	IL5	CASP3	IFNA8
UPK2				EMILIN1	SLC4A4	NUSAP1	NRP2	AURKB	CD74	BIRC3	ERO1L	OAS1	DDIT3	COL4A2	EPS8L1	ATP1A3	ANXA3	NDUFA2	IL6	CASP4	IFNA10
				DCN	CSMD2	CDC25C	SDC2	BARD1	CFB	BRD2	FAM162A	GBP1	KLF6	COL6A1	CEACAM7	ATP2B3	ANXA4	NDUFA3	IL7	CASP7	IFNA13
				IGFBP5	RGS17	CDCA2	SPARC	BCL2L12	CFH	BTG1	FUT11	IFI27	NFKBIA	MMP2	CEACAM1	ATP6V1G2	APBA2	NDUFA4	IL10	CASP8	IFNA14
				THY1	CRP	KIF18A		BIRC5	CMPK2	BTG2	HILPDA	IFIT1	HSPA1A	DCN	CFB	ATRNL1	AQP1	NDUFA5	IL11	CCL2	IFNA16
				DES	SLC17A4	KIF11		BORA	CX3CL1	C10orf10	HK2	TAP1	HSPA1B	COL4A1	WFDC2	AUTS2	ARHGAP20	NDUFA6	IL12B	CCL5	IFNA17
				COL6A2	RELN	CCNF		BRCA1	CXCL10	C11orf96	IGFBP3	HLA-B	CYR61	FSTL1	MUC16	B3GAT2	ARHGEF19	NDUFA7	IL13	CCL7	IFNA21
				MGP	PAH	KIF20B		BTG3	CXCL11	C16orf98	LDHA	IFITM1	MAFF	NNMT	SAA2	BARHL1	ARHGEF35	NDUFA8	IL15	CD274	IFNG
				CTHRC1	PKHD1	HJURP		BUB1	CXCL9	C1orf63	LINC01133	HLA-DMA	NFKBIZ	TPM1	B2M	BARHL2	ARHGEF5	NDUFA9	PDGFA	CD38	INS
				TAGLN	LINC01320	ARHGAP11A		BUB1B	DDX58	C5orf45	MGP	ISG20	IER3	TSC22D3	HLA-DRB1	BASP1	ARNT2	NDUFA10	TGFB1	CD40	BECN2
				CALD1	ACSM3	NCAPG		C12orf75	DDX60	C8orf4	NDRG1	TNFSF10	CCNL1	CCDC80	BIRC3	BCL11B	ART3	NDUFAB1	TNF	CD69	PIK3C3
				MMP2	DSCAML1	HMMR		C19orf48	DDX60L	CA12	NDUFA4L2	IFI35	MCL1	CTGF	PLAAT4	BEGAIN	ASCL2	NDUFB1	CD4	CD74	PRKAA1
				CARMN	AR	AURKA		C21orf58	DYNLT1	CCL20	NRN1	IFI44	RHOB	CXCL12	PLAT	BEX1	ATP1A1	NDUFB2		CD86	PRKAA2
