Inflammatory_cytokine-enriched_TAM	Lipid-associated_TAM	Pro-angiogenic_TAM
CCL2	ACP5	ADAM8
CCL3	AOPE	AREG
CCL4	APOC1	BNIP3
CCL5	ATF1	CCL2
CCL20	C1QA	CCL4
CCL3L1	C1QB	CCL20
CCL3L3	C1QC	CD163
CCL4L2	CCL18	CD300E
CCL4L4	CD163	CD44
CXCL1	CD36	CD55
CXCL2	CD63	CEBPB
CXCL3	CHI3L1	CLEC5A
CXCL5	CTSB	CTSB
CXCL8	CTSD	EREG
G0S2	CTSL	FCN1
IL1B	F13A1	FLT1
IL1RN	FABP5	FN1
IL6	FOLR2	HES1
INHBA	GPNMB	IL1B
KLF2	IRF3	IL1RN
KLF6	LGALS3	IL8
NEDD9	LIPA	MAF
PMAIP1	LPL	MIF
S100A8	MACRO	NR1H3
S100A9	MERTK	OLR1
SPP1	MMP7	PPARG
	MMP9	S100A8
	MMP12	S100A9
	MRC1	S100A12
	NR1H3	SERPINB2
	NRF1	SLC2A1
	NUPR1	SPIC
	PLA2G7	SPP1
	RNASE1	THBS1
	SPARC	TIMP1
	SPP1	VCAN
	TFDP2	VEGFA
	TREM2	
	ZEB1	
