	0
0	KRTAP5-11
1	FCRLB
2	MTREX
3	BRI3
4	ZNF835
5	KHDRBS3
6	TRIM50
7	C10orf120
8	ARL14
9	RANGAP1
10	KCNJ8
11	SPTA1
12	TESK2
13	C2orf49
14	HSPA13
15	HAND1
16	INPP4B
17	FIZ1
18	ZNF701
19	DNAI1
20	COL4A6
21	ZNF845
22	PPP3R1
23	FRMPD2
24	MED11
25	ARHGEF17
26	MUL1
27	HTN3
28	PRG4
29	AXL
30	ZNF81
31	CINP
32	G6PD
33	SLC2A6
34	ZNF687
35	FTO
36	ATF3
37	NGEF
38	NDUFS1
39	TPM1
40	DOCK10
41	PRSS48
42	SYT1
43	TP53BP1
44	APOF
45	FAM3D
46	ILDR2
47	NEURL3
48	SHF
49	ZMYM5
50	SNAP29
51	MFSD12
52	BCAT2
53	PLSCR5
54	CTNNA3
55	DCP2
56	RRAD
57	CXCR2
58	ARL5B
59	COX6A2
60	MAPK10
61	TAL2
62	THSD8
63	CORO1C
64	TIGD3
65	DAP3
66	FGFBP2
67	TAS2R38
68	FSCN2
69	NOL3
70	ARX
71	OR13D1
72	RET
73	ZSCAN21
74	CCBE1
75	DMBT1
76	SOX4
77	PHYHD1
78	CPNE6
79	CCDC43
80	CHMP5
81	RGS11
82	PRDM1
83	RHOF
84	TSR1
85	ACTBL2
86	CHAT
87	NLN
88	TRAF2
89	LAMP2
90	ABCC6
91	PPARA
92	RNF166
93	AP4E1
94	MED16
95	CT55
96	NBPF4
97	TMEM86B
98	GFM2
99	P4HTM
100	NPIPB7
101	PPAN
102	BICRA
103	CYB561A3
104	FIG4
105	GEMIN7
106	NBEA
107	LSP1
108	WDR17
109	MFSD4A
110	BCL10
111	PTPN5
112	PRR30
113	EPHA1
114	MAGEA9B
115	TASP1
116	ZNF574
117	ZNF805
118	CCDC182
119	TCTA
120	CTXND2
121	DHRS2
122	RTN4RL2
123	FKBPL
124	SLC12A2
125	C1QC
126	ADPRHL1
127	C4orf54
128	RNF220
129	TMEM11
130	ARFGEF1
131	OR2D2
132	PPM1G
133	GBP2
134	HEBP1
135	IARS2
136	ROBO3
137	SPATA5
138	DNTTIP2
139	MTHFR
140	CCDC196
141	SLC24A4
142	BTBD11
143	MMADHC
144	ILRUN
145	GPR22
146	TRPV1
147	GPR179
148	DAZAP1
149	PCTP
150	RBBP7
151	MS4A7
152	MT1B
153	NFYB
154	NKD2
155	UHRF1BP1L
156	RRP12
157	TSPAN17
158	NSMCE2
159	GDA
160	SMUG1
161	NRN1
162	WTAP
163	GMPPB
164	ANKRD55
165	PFKFB4
166	RIN2
167	GPR26
168	NFYA
169	RELA
170	VSIG4
171	ISOC1
172	SLC29A1
173	NRG4
174	BRD3OS
175	OLR1
176	UTP25
177	GAGE2A
178	GGT1
179	ANKS3
180	APLF
181	MET
182	PROM2
183	SCN4A
184	LRP8
185	TAF4
186	TGFBR1
187	PPDPF
188	SERPINB5
189	PIDD1
190	DDHD2
191	PHLDB1
192	BBS9
193	NSMF
194	GFPT2
195	TRPM4
196	SARDH
197	CSNK1A1
198	STH
199	DGKQ
200	APOB
201	CCDC86
202	NSD3
203	AP1G1
204	PGRMC1
205	CCDC69
206	EPYC
207	KRTAP13-2
208	FAM13C
209	SLC25A10
210	UQCC1
211	NUCB2
212	ZNF211
213	CGRRF1
214	AIF1
215	ARHGEF18
216	CYGB
217	LGALS7
218	MCEE
219	SERINC2
220	MTIF3
221	STEAP1B
222	AMBP
223	DMTN
224	CRYM
225	BIRC3
226	CEP63
227	TM9SF3
228	GCH1
229	RANBP10
230	FAM83F
231	GSTA5
232	NSG2
233	MSL2
234	TIMM9
235	CAAP1
236	CARD18
237	GPAM
238	TUBA1A
239	VHLL
240	TLCD3B
241	EDEM1
242	OR5H6
243	GCNT1
244	MPP6
245	SUSD2
246	WDR74
247	ST8SIA3
248	SDHA
249	ATP8B1
250	SMARCD2
251	JAGN1
252	MFSD2A
253	S1PR1
254	TRNAU1AP
255	PRMT5
256	ATP5MC1
257	POLR1A
258	METTL2A
259	SRRM5
260	YES1
261	AIM2
262	MTRF1
263	IGSF10
264	ZNF157
265	PCSK2
266	SEMA6C
267	PRX
268	N4BP2L1
269	DMRT1
270	RRAS2
271	SCAF4
272	NLGN3
273	KRTAP6-2
274	CCT8
275	PFN3
276	SDE2
277	CHMP2B
278	HIVEP3
279	HPDL
280	TENT4B
281	NANS
282	RP2
283	TRIM49C
284	OTUD7B
285	ANAPC1
286	ANXA13
287	ACSM4
288	KBTBD8
289	THOC2
290	DTNA
291	BMP8B
292	SEMG1
293	CHRNA7
294	MUC2
295	NDUFB5
296	PDE2A
297	C17orf98
298	OTX2
299	GJB3
300	PPP1R32
301	LAPTM4B
302	RDX
303	SOBP
304	SEMA6D
305	ZIK1
306	CDC7
307	CHPF2
308	GHRHR
309	ADGRB3
310	RIN3
311	PLEKHB2
312	VRK3
313	HPCAL1
314	SLC17A6
315	ECH1
316	VSTM1
317	KLHL25
318	E2F5
319	ALX1
320	SEPTIN8
321	TWF1
322	FAM199X
323	PITPNM1
324	PAQR3
325	KRTAP29-1
326	NYAP1
327	ICE2
328	C5orf24
329	ARF3
330	CCDC68
331	PCDHGA2
332	VTI1A
333	APBA1
334	DENND4C
335	WDCP
336	CHP1
337	ZNF711
338	OR10Z1
339	KCNS3
340	DENND2A
341	GPR183
342	HADHA
343	ERP29
344	ERVH48-1
345	ELL
346	GOLGA8O
347	NPIPB13
348	CDV3
349	KRTAP1-5
350	PRKAG3
351	HNRNPCL4
352	DHX36
353	INO80C
354	ST6GALNAC5
355	STX6
356	WFDC10B
357	GATD3A
358	CHD2
359	CHCHD6
360	CELF3
361	KCNA4
362	DNAAF4
363	SPON1
364	GYPA
365	HMHB1
366	OR52K1
367	JRKL
368	ASB1
369	IQCJ-SCHIP1
370	ADAP1
371	PNPLA1
372	SLC23A2
373	SULF2
374	DLX1
375	ANAPC2
376	BPIFB6
377	CD164
378	BNIP5
379	ACSL1
380	CCDC174
381	DACH1
382	PWWP3A
383	KRTAP9-8
384	SPINK9
385	SGCD
386	EIF2S3
387	FNDC3B
388	CENPF
389	COL19A1
390	COX8C
391	RAB40B
392	TCF23
393	SLC2A3
394	OR51Q1
395	UTS2R
396	UBE2C
397	EXOC3L4
398	RND3
399	STRC
400	LASP1
401	RANBP3L
402	UCHL5
403	ARIH1
404	ZNF117
405	ATP10D
406	FAM81B
407	SLC25A2
408	OR1J4
409	NANOGNB
410	MAD1L1
411	STOML3
412	SCT
413	PLCXD3
414	XPO7
415	LSR
416	GRIA1
417	HOXB3
418	TMEM220
419	GJA10
420	WDR20
421	SCN1A
422	TUBA8
423	MTRNR2L11
424	HAND2
425	TMEM39A
426	CLIC2
427	ABCC9
428	HSPA1L
429	NR5A2
430	PRMT7
431	SPDYC
432	AHCTF1
433	NIBAN3
434	RNASE6
435	FOXD3
436	VMA21
437	ACMSD
438	FAM124A
439	ANKRD46
440	RFFL
441	KIF13B
442	STK32A
443	EZR
444	RABGGTA
445	SAR1B
446	COLEC10
447	ARRDC2
448	FHOD3
449	SLC20A1
450	CTU1
451	DHX33
452	ATL2
453	CSNK1G2
454	OCIAD2
455	CDC42EP5
456	LBX2
457	ASL
458	EFCAB7
459	RGS9
460	TMEM216
461	LARGE2
462	RBM12
463	PTPA
464	DCAF5
465	PHF20
466	LRRC8D
467	COL20A1
468	SYMPK
469	SYNGR1
470	FRMD7
471	ZNF302
472	CSNKA2IP
473	GBP3
474	PRPF19
475	SURF2
476	THAP10
477	OGFOD2
478	THEG
479	HAUS5
480	SLC25A29
481	RTP5
482	FERMT2
483	FBXL19
484	SCARF2
485	PPFIA4
486	ANKRD22
487	TTLL9
488	OR8B2
489	CBY1
490	ZNF112
491	EML6
492	PCDHGA1
493	FHL5
494	RCC1
495	USP1
496	UBN1
497	ARL6IP6
498	RBCK1
499	SLC3A1
500	RFX5
501	ANAPC7
502	DAPP1
503	ATP11A
504	ZNF683
505	CBWD1
506	MICB
507	SNTG1
508	ZNF579
509	KLHL23
510	SLC23A1
511	CCL1
512	PHF7
513	ZNF430
514	FBXO46
515	PAFAH1B3
516	CNR2
517	GPC3
518	CYP27B1
519	SYT6
520	UCP3
521	RAP1GAP
522	NFIA
523	C8B
524	LCE2D
525	TMEM50A
526	EDN1
527	EPDR1
528	FCN3
529	SLC25A43
530	OR4E2
531	RGL1
532	AXIN2
533	ADAMTSL5
534	SHKBP1
535	TNFRSF21
536	CES1
537	R3HDM4
538	TTC39A
539	GALNT14
540	SRSF8
541	SIRT3
542	SLC9A2
543	GCLC
544	LETM2
545	PIGA
546	DMGDH
547	GALT
548	MMP19
549	SDK2
550	CKAP4
551	SRGAP2B
552	GALNT11
553	PSPN
554	PMS2
555	SKA2
556	SNORC
557	DEGS2
558	SPAG8
559	CHI3L2
560	CREB3L1
561	FAM214A
562	ISG20
563	POLR2L
564	PTBP1
565	PYROXD1
566	SMG8
567	EIF1AY
568	ERMARD
569	TMEM18
570	ARL11
571	C17orf78
572	DAND5
573	ENO3
574	WDR45
575	PXMP4
576	KLHL29
577	LBHD2
578	DCTN5
579	TGFB3
580	TLE4
581	KLHL34
582	CRBN
583	PBX1
584	ACSF3
585	MICU1
586	TNNI3
587	PANX1
588	JADE3
589	S100A7A
590	KIF20B
591	EPHB3
592	HDAC4
593	PXT1
594	PCNX4
595	GZMB
596	KRT75
597	S100A4
598	MKI67
599	CTSE
600	NEIL1
601	HESX1
602	PDIA3
603	PHYH
604	AAGAB
605	ADAMTS16
606	PAPPA
607	PSEN2
608	PSMA1
609	RMC1
610	MAGED1
611	PKDREJ
612	ATXN1L
613	EFNA2
614	MFSD3
615	PSIP1
616	LDLR
617	EIF4ENIF1
618	HRH3
619	GRB14
620	SLC26A11
621	UNC13A
622	RHOXF2
623	ACP5
624	GPANK1
625	GAST
626	AKAP8L
627	RBP7
628	CDRT1
629	UEVLD
630	PERP
631	TNFSF13
632	B3GNT2
633	AKNA
634	GGT7
635	CIITA
636	USP9Y
637	GRIN3B
638	C1orf54
639	LCE3D
640	FBXW9
641	NUDT14
642	TMEM239
643	PRR20G
644	MINDY1
645	CXADR
646	GON7
647	SRRM1
648	TRPV2
649	FAM110D
650	KRT6A
651	MOV10
652	ARHGEF4
653	INPP4A
654	KATNA1
655	NSMAF
656	NIP7
657	SNRPD2
658	LTB4R
659	SIRPA
660	ACP1
661	PLA2R1
662	CNTRL
663	AASS
664	KRT8
665	TNFAIP2
666	CYB5A
667	VGLL4
668	PYGM
669	ZNF732
670	OR1G1
671	TEX13A
672	HYPK
673	CES5A
674	NUP214
675	CCAR1
676	CFAP298
677	FSBP
678	MAMDC2
679	ZC3H12A
680	AGK
681	TNFSF15
682	TIMM22
683	RAB20
684	LGALS4
685	TEAD3
686	SLC12A6
687	AP5M1
688	MYLK4
689	ATAT1
690	FANCF
691	GBX2
692	SDCCAG8
693	SERINC3
694	TENM2
695	RGPD6
696	ARGLU1
697	AACS
698	CHMP2A
699	PRKRIP1
700	SDF4
701	CCDC9B
702	C12orf40
703	BAZ2A
704	SCCPDH
705	CYP11B1
706	ID1
707	EXOC4
708	CCDC25
709	TSC22D1
710	NCBP2L
711	PKLR
712	TUT4
713	UBAP1
714	LYSMD3
715	ZNF175
716	VGF
717	BANF1
718	SLC35G6
719	BORCS8
720	TUFT1
721	TMTC2
722	PEF1
723	TRMT1
724	SDHAF1
725	RSRC2
726	PAIP1
727	MMP27
728	RAB11A
729	CHST8
730	KLF12
731	MINDY2
732	PHPT1
733	PRM2
734	CLDN12
735	GTF2A2
736	PDXDC1
737	SERTAD2
738	TAF3
739	SCN1B
740	PPP1R16A
741	SNX29
742	C16orf90
743	PEX16
744	PCP2
745	TNS1
746	EPN1
747	OR2AE1
748	GFRAL
749	MLEC
750	PAIP2B
751	C3orf85
752	ANKRD34B
753	EXOSC9
754	ARHGEF33
755	IL3
756	GALNT8
757	CERS5
